"Plot","Year","Veg.Survey","Preserve","Bison","Fire","Dung.per.meter2","YSF","VOR","Thatch.Depth","Vertical","X.Bare","X.Thatch","X.Grass","X.Forb","X.Wood","Restoration.Year","dung.sqrt","Restoration.Age","WallowArea","Wallow.sqrt"
"HL",2021,3,"Nachusa","Bison","Unburned",0.089166667,1,0.24375,0.015625,0.4375,0.065625,0.103125,0.609375,0.221875,0,1999,0.298607882,22,610.74,24.7131543919428
"HPE",2021,1,"Nachusa","Bison","Burned",0.0075,0,0.284615385,0.000769231,0.407692308,0.103846154,0.007692308,0.165384615,0.723076923,0,2011,0.08660254,10,0,0
"HPE",2021,2,"Nachusa","Bison","Burned",0.0075,0,0.51875,0,0.45625,0.021875,0,0.2,0.778125,0,2011,0.08660254,10,0,0
"HPE",2021,3,"Nachusa","Bison","Burned",0.0075,0,0.575,0.00125,0.6375,0.03125,0.003125,0.30625,0.659375,0,2011,0.08660254,10,0,0
"HPN",2021,1,"Nachusa","Bison","Unburned",0.005416667,1,0.276923077,0.043846154,0.433846154,0.034615385,0.123076923,0.203846153,0.634615385,0.003846154,2013,0.073598009,8,0,0
"HPN",2021,2,"Nachusa","Bison","Unburned",0.005416667,1,0.4375,0.028125,0.55625,0.025,0.028125,0.334375,0.6125,0,2013,0.073598009,8,0,0
"HPN",2021,3,"Nachusa","Bison","Unburned",0.005416667,1,0.59375,0.049375,0.625,0.009375,0.06875,0.309375,0.6125,0,2013,0.073598009,8,0,0
"HPW",2021,1,"Nachusa","Bison","Unburned",0.001666667,1,0.28125,0.0125,0.35625,0.0125,0.05,0.3125,0.621875,0.003125,2012,0.040824833,9,44.59,6.67757440991862
"HPW",2021,2,"Nachusa","Bison","Unburned",0.001666667,1,0.50625,0.016875,0.475,0.015625,0.0375,0.190625,0.75625,0,2012,0.040824833,9,44.59,6.67757440991862
"K10",2021,1,"Kankakee","No Bison","Unburned",0,10,0.3625,0.07,0.5625,0,0.240625,0.296875,0.415625,0.046875,2003,0,18,0,0
"K10",2021,2,"Kankakee","No Bison","Unburned",0,10,0.5125,0.05625,0.66875,0.00625,0.209375,0.203125,0.425,0.15625,2003,0,18,0,0
"K2",2021,1,"Kankakee","Bison","Burned",0.021666667,0,0.4,0.011875,0.43125,0.028125,0.190625,0.13125,0.646875,0.003125,2002,0.147196016,19,113.58,10.657391800999
"K2",2021,2,"Kankakee","Bison","Burned",0.021666667,0,0.6125,0.00875,0.58125,0.125,0.096875,0.215625,0.5625,0,2002,0.147196016,19,113.58,10.657391800999
"K2",2021,3,"Kankakee","Bison","Burned",0.021666667,0,0.79375,0.016875,0.7875,0.053125,0.078125,0.265625,0.603125,0,2002,0.147196016,19,113.58,10.657391800999
"K20",2021,1,"Kankakee","No Bison","Unburned",0,10,0.35625,0.04375,0.5375,0.015625,0.390625,0.303125,0.24375,0.046875,2003,0,18,0,0
"K20",2021,2,"Kankakee","No Bison","Unburned",0,10,0.55625,0.054375,0.70625,0.053125,0.15,0.575,0.165625,0.05625,2003,0,18,0,0
"K20",2021,3,"Kankakee","No Bison","Unburned",0,10,0.5375,0.03625,0.7625,0.059375,0.1625,0.496875,0.234375,0.046875,2003,0,18,0,0
"K21",2021,1,"Kankakee","No Bison","Unburned",0,10,0.36875,0.0575,0.55,0.03125,0.390625,0.20625,0.3625,0.009375,2003,0,18,0,0
"K21",2021,2,"Kankakee","No Bison","Unburned",0,10,0.333333333,0.037333333,0.54,0.206666667,0.21,0.163333333,0.4,0.02,2003,0,18,0,0
"K23",2021,1,"Kankakee","Bison","Burned",0.026875,0,0.175,0.0075,0.28125,0.115625,0.390625,0.2375,0.25625,0,2002,0.163935963,19,25.21,5.02095608425328
"K23",2021,2,"Kankakee","Bison","Burned",0.026875,0,0.4,0.006666667,0.506666667,0.2,0.106666667,0.173333333,0.453333333,0.066666667,2002,0.163935963,19,25.21,5.02095608425328
"K23",2021,3,"Kankakee","Bison","Burned",0.026875,0,0.36875,0.00375,0.5,0.1125,0.046875,0.425,0.378125,0.0375,2002,0.163935963,19,25.21,5.02095608425328
"K24",2021,1,"Kankakee","Bison","Burned",0.027916667,0,0.15625,0.01875,0.26875,0.034375,0.440625,0.296875,0.228125,0,2002,0.167082815,19,0,0
"K24",2021,2,"Kankakee","Bison","Burned",0.027916667,0,0.26875,0.013125,0.45,0.18125,0.13125,0.465625,0.215625,0.00625,2002,0.167082815,19,0,0
"K24",2021,3,"Kankakee","Bison","Burned",0.027916667,0,0.31,0.0095,0.285,0.0975,0.0425,0.6525,0.205,0.0025,2002,0.167082815,19,0,0
"K34",2021,1,"Kankakee","Bison","Burned",0.040833333,0,0.153333333,0.012666667,0.18,0.073333333,0.273333333,0.183333334,0.453333333,0.01,2002,0.202072593,19,9.86,3.14006369362152
"K34",2021,2,"Kankakee","Bison","Burned",0.040833333,0,0.23125,0.005,0.36875,0.128125,0.16875,0.18125,0.509375,0.0125,2002,0.202072593,19,9.86,3.14006369362152
"K47",2021,1,"Kankakee","Bison","Unburned",0.00875,6,0.213333333,0.035333333,0.4,0.16,0.18,0.363333333,0.29,0.006666667,1998,0.093541435,23,0,0
"K47",2021,2,"Kankakee","Bison","Unburned",0.00875,6,0.4125,0.025,0.39375,0.221875,0.140625,0.30625,0.33125,0,1998,0.093541435,23,0,0
"K47",2021,3,"Kankakee","Bison","Unburned",0.00875,6,0.36875,0.026875,0.53125,0.0875,0.1875,0.340625,0.384375,0,1998,0.093541435,23,0,0
"K48",2021,1,"Kankakee","Bison","Unburned",0.017083333,6,0.2125,0.04625,0.475,0.0625,0.51875,0.26875,0.146875,0,2001,0.130703225,20,337.3,18.3657289536789
"K48",2021,2,"Kankakee","Bison","Unburned",0.017083333,6,0.375,0.0275,0.5225,0.053125,0.228125,0.540625,0.175,0,2001,0.130703225,20,337.3,18.3657289536789
"K48",2021,3,"Kankakee","Bison","Unburned",0.017083333,6,0.4125,0.053125,0.6375,0.03125,0.1125,0.659375,0.196875,0,2001,0.130703225,20,337.3,18.3657289536789
"K5",2021,1,"Kankakee","Bison","Unburned",0.014166667,6,0.266666667,0.046,0.493333333,0.066666667,0.313333333,0.403333333,0.18,0.036666667,2001,0.119023809,20,194.94,13.9620915338641
"K5",2021,2,"Kankakee","Bison","Unburned",0.014166667,6,0.325,0.02125,0.60625,0.115625,0.08125,0.615625,0.15625,0.03125,2001,0.119023809,20,194.94,13.9620915338641
"K5",2021,3,"Kankakee","Bison","Unburned",0.014166667,6,0.625,0.039375,0.625,0.08125,0.05625,0.58125,0.1625,0.11875,2001,0.119023809,20,194.94,13.9620915338641
"K51",2021,1,"Kankakee","No Bison","Unburned",0,10,0.25625,0.06,0.3875,0.053125,0.284375,0.621875,0.040625,0,2003,0,18,278.43,16.6862218611644
"K51",2021,2,"Kankakee","No Bison","Unburned",0,10,0.33125,0.063125,0.425,0.059375,0.165625,0.7,0.075,0,2003,0,18,278.43,16.6862218611644
"K51",2021,3,"Kankakee","No Bison","Unburned",0,10,0.345454545,0.074545455,0.527272727,0.068181818,0.013636364,0.85,0.05,0.018181818,2003,0,18,278.43,16.6862218611644
"K52",2021,1,"Kankakee","No Bison","Unburned",0,10,0.40625,0.06375,0.4875,0.003125,0.2625,0.4125,0.196875,0.021875,2003,0,18,1276.06,35.7219820278775
"K52",2021,2,"Kankakee","No Bison","Unburned",0,10,0.471428571,0.058571429,0.621428571,0.017857143,0.096428571,0.496428572,0.321428571,0,2003,0,18,1276.06,35.7219820278775
"K52",2021,3,"Kankakee","No Bison","Unburned",0,10,0.61875,0.13375,0.57625,0,0.028125,0.56875,0.2125,0.190625,2003,0,18,1276.06,35.7219820278775
